Time of Day,Temperature,Humidity,CO2_InfraredSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
morning,19.35,47.73,75.01891960081446,522.411937737481,735.9592867886907,678.6052614328994,1.0,3856,cooling_active,very_bright,Moderate Activity
evening,23.7,49.71,108.18283690775698,454.82037641627767,690.4975334583805,615.6014822446729,1.0,7241,maintenance_mode,very_bright,Moderate Activity
evening,23.43,53.2,111.56876274097488,459.6622118481602,681.3789228927737,603.8219550082312,1.0,7241,ventilation_only,very_bright,High Activity
night,12.229652532310878,47.32,111.79059401706522,444.1808532522664,696.6298999428043,611.2058875482572,2.0,6431,heating_active,very_bright,Low Activity
evening,20.17,49.94,107.09414598275411,433.6173667486191,677.251204992992,613.4204512325352,1.0,7241,off,moderate,High Activity
afternoon,18.73,52.93,77.55787228886052,528.5152875424304,735.8889915926296,667.5190859351593,1.0,3856,eco_mode,bright,Moderate Activity
evening,23.63,52.23,141.43126317156936,391.27801204428033,634.0534172016762,558.7549392367155,2.0,5172,heating_active,very_bright,Moderate Activity
evening,24.25,53.2,101.91827666272889,472.4303124198267,672.8529513827575,596.8784964072863,2.0,7241,heating_active,dim,Moderate Activity
night,19.87,52.56,112.70651965455536,481.91427248841035,678.511175320915,589.648975739934,1.0,2847,cooling_active,very_bright,Low Activity
evening,24.19,49.11,103.73927182194016,464.25816252336807,683.1655037310882,604.2388261279083,1.0,7241,maintenance_mode,very_bright,Moderate Activity
evening,24.1,49.16,102.75668429831796,464.49406771781935,682.0243421088544,615.0967107902023,1.0,7241,off,moderate,Low Activity
evening,24.08,49.09,104.17716851791955,467.2921989740528,683.0530565779593,594.9982420158309,2.0,7241,ventilation_only,dim,Low Activity
morning,19.37,57.36,116.61441329077128,474.23427440205154,680.1691549694806,611.9649882151042,2.0,7241,heating_active,very_bright,Low Activity
evening,24.5,47.59,103.86554273195873,477.5717837888416,678.9040701188006,614.4405824082171,1.0,7241,maintenance_mode,moderate,Moderate Activity
morning,15.48,42.19,205.48416660509503,582.3964533497045,754.0693490451349,704.6165586877327,1.0,8052,cooling_active,moderate,Low Activity
evening,24.94,46.56,109.25784263316396,475.34024739771473,681.7174215400362,598.7659482305598,1.0,7241,off,moderate,Moderate Activity
evening,24.77,46.93,103.95855371210487,473.56561184408696,673.4699037907722,598.3761836279933,1.0,7241,ventilation_only,very_bright,Moderate Activity
afternoon,19.43,53.18,88.88005505743772,501.4264724988159,457.806433828026,633.4342396567661,1.0,9385,cooling_active,very_bright,Low Activity
evening,24.68,53.2,113.58471440383173,450.9906214711482,676.0761282456534,585.971179721473,2.0,7241,cooling_active,bright,Moderate Activity
evening,24.92,46.65,107.366911668806,447.2916255753581,516.2255522216268,590.0270895945781,2.0,7241,cooling_active,bright,High Activity
evening,20.17,48.34,110.55291314291937,437.11887081588384,671.7129211926075,602.3913496516993,2.0,7241,eco_mode,very_bright,Moderate Activity
evening,23.94,48.99,127.38768967635292,440.8896783769899,674.281597228857,602.3675862991588,2.0,7241,maintenance_mode,very_bright,Low Activity
evening,20.17,48.51,120.22080063389004,407.04548127414336,655.3349680379331,570.8774218763959,2.0,7241,ventilation_only,very_dim,Low Activity
afternoon,20.66,51.754999999999995,130.31147862320495,477.0047888510731,664.917644721204,608.9253947945562,2.0,9184,off,bright,Moderate Activity
evening,20.17,52.08,138.4817543897393,461.05808030632176,682.195894480497,593.9589046810567,2.0,7241,eco_mode,very_bright,Low Activity
evening,34.23970803263149,53.2,118.4412166058418,452.2729556664494,485.4072457910158,592.6471979912417,2.0,7241,maintenance_mode,very_bright,Low Activity
evening,23.1,52.235,5.361253449415571,424.78286120203046,459.19563907796135,525.571504175192,1.0,3074,eco_mode,bright,Low Activity
afternoon,16.31,48.26,72.74928133159473,577.5781913185256,742.2359568911793,689.6075842621829,2.0,6431,ventilation_only,very_bright,Low Activity
evening,24.91,48.19,116.51419045027993,428.146716828443,662.6983957580312,578.5153984231891,2.0,7241,maintenance_mode,dim,Low Activity
evening,24.92,48.03,118.08810306936626,417.79190835464385,661.0597949080576,588.6067374232283,2.0,7241,maintenance_mode,bright,Low Activity
night,21.0,57.79,120.20849906444404,478.8191044608787,670.8949747049062,597.2193687986181,1.0,5214,heating_active,bright,Low Activity
evening,24.86,48.3,130.2385431261466,365.1463462014064,870.046801091643,570.5356845351145,3.0,7241,maintenance_mode,bright,Low Activity
afternoon,18.35,53.43,103.09428740955792,480.61217765272573,632.4181719962631,565.3694698453961,1.0,7058,maintenance_mode,very_bright,Low Activity
evening,24.63,48.57,123.46203811347785,407.8871257191632,662.949708924526,576.7826872430126,3.0,7241,maintenance_mode,very_bright,Low Activity
night,18.57,45.84,121.18492261318048,468.2399263109903,678.0654637044868,620.4664969187484,1.0,2679,cooling_active,very_bright,Moderate Activity
evening,20.17,49.16,118.65798066754472,402.1786266892548,667.3007013301265,579.4747321013964,3.0,7241,ventilation_only,dim,Low Activity
evening,23.96,50.52,142.70154352639773,435.34027403936705,645.9284169327736,594.1985130415135,1.0,9385,off,moderate,Low Activity
morning,17.43,42.6,89.41818953621097,518.1708293106987,726.0461926244934,668.4191550831088,1.0,8052,maintenance_mode,moderate,Moderate Activity
evening,20.17,50.55,117.80117718001432,430.1882702573255,658.7036149055695,562.1444580781204,3.0,7241,cooling_active,dim,Low Activity
evening,24.0,53.2,17.64171014165342,417.4527486625917,899.2699227104131,583.9997655789317,3.0,7241,cooling_active,moderate,Low Activity
evening,23.22,53.2,121.838526439944,415.4438506225015,659.7268856461907,579.4072582004396,3.0,7241,maintenance_mode,bright,Low Activity
evening,20.17,51.94,113.9033380606571,397.63154055840505,487.2541937493418,576.5633624416624,2.0,7241,off,bright,Low Activity
evening,22.73,53.2,125.46616344446,414.9208286601253,660.2221619939115,578.4528557647749,3.0,7241,heating_active,very_bright,Low Activity
night,17.79,52.62,123.40616232095134,493.57575522456386,830.8821490278367,648.7247760799222,0.0,5820,cooling_active,very_bright,Moderate Activity
evening,23.1,52.18,110.27111079412704,447.55527749407344,560.9335768472312,503.6205630810671,3.0,1903,maintenance_mode,bright,Low Activity
evening,22.4,53.05,116.49355862945524,410.1745062830621,866.9597437612936,589.6990527048242,3.0,7241,eco_mode,moderate,Low Activity
evening,22.35,53.17,119.06711787993628,415.86879766665345,665.413360319215,585.0523017870878,3.0,7241,eco_mode,bright,Low Activity
evening,30.060079446452423,52.67,118.15349416243488,421.32600194759885,652.6655576505311,591.1038270272281,3.0,7241,eco_mode,very_bright,Low Activity
evening,19.68,50.01,123.27657112146854,483.41579727413887,658.8885877437534,554.6892402555701,1.0,6847,off,very_bright,Moderate Activity
evening,22.21,53.22,123.41401354194258,429.39402240828906,659.2549097827725,601.7646773474727,3.0,7241,eco_mode,very_bright,Low Activity
evening,21.53,53.2,118.41743694467384,430.2533902020123,665.3288791596029,586.1227914782811,3.0,7241,off,very_bright,Low Activity
night,12.614772127623358,52.79,115.63568837809242,471.8676544178442,636.6576524569464,571.4091047392535,1.0,6817,off,bright,Low Activity
evening,21.78,54.45,118.66193649157478,436.8657538524173,668.0558760444711,596.0391553371767,3.0,7241,ventilation_only,moderate,Low Activity
evening,21.76,54.56,108.49696597954237,433.7799078609961,676.0869002626607,583.7137310973757,3.0,7241,cooling_active,moderate,Low Activity
evening,21.35,55.62,107.9962962212852,420.72143075135654,661.8811155366578,597.1610232672463,2.0,7241,eco_mode,very_bright,Low Activity
evening,21.32,55.61,109.88748325086812,442.1333894885161,867.2828896285914,599.0163978456214,3.0,7241,heating_active,very_bright,Low Activity
evening,22.71,44.01,128.8065837750779,481.3356462114702,679.0011535451384,583.1223015550456,2.0,2679,eco_mode,moderate,Low Activity
morning,19.54,55.7,105.98040444040925,475.85552084563113,691.2206080224336,634.5000296327179,1.0,2847,cooling_active,bright,Moderate Activity
evening,21.16,55.76,107.37536778345012,436.82719935720087,668.4509074754407,601.0902168427282,3.0,7241,heating_active,bright,Low Activity
afternoon,23.62,46.37,113.92975454123724,445.8144922549062,668.2370097516534,613.4549535356937,1.0,4507,heating_active,very_bright,High Activity
night,19.69,53.435,120.01758372752089,459.0864699720606,645.7417581698728,571.7453410060458,2.0,7058,off,bright,Low Activity
morning,18.63,53.7,120.524377973475,453.3850519791154,698.5126197579226,636.7507898278276,1.0,6847,cooling_active,very_dim,Low Activity
afternoon,19.43,57.72,105.62235442287404,535.3943467781784,664.7086416599625,601.3499076227141,1.0,8936,cooling_active,very_bright,Low Activity
night,20.96,53.2,111.10444391559034,427.5444928149601,799.8107812082162,598.2885303407586,3.0,7241,eco_mode,moderate,Low Activity
night,19.9,49.2,116.28561745814848,443.8248022115053,693.6956066927547,614.9032630952106,1.0,2105,heating_active,bright,Moderate Activity
night,20.91,55.97,107.39196952055968,422.89490173247697,673.3017414443973,604.376312024315,3.0,7241,heating_active,very_bright,Low Activity
night,20.81,55.89,105.45355158356196,439.84850107985767,667.4370789776845,614.1556507895136,3.0,7241,ventilation_only,bright,Low Activity
night,20.89,55.69,112.6868005624484,437.1123043632449,688.5290039798076,599.9637944562592,3.0,7241,off,very_bright,Low Activity
night,20.94,55.52,112.71896824027344,426.9118989342998,676.9995192739378,601.7034495904644,3.0,7241,ventilation_only,dim,Low Activity
night,20.74,55.97,103.41038067519288,424.4121302940396,675.1339488563563,609.0684943422586,3.0,7241,heating_active,very_bright,Low Activity
evening,22.73,50.64,123.65386431402077,457.0456524041602,645.7504537043579,573.8980371369488,2.0,7058,cooling_active,very_bright,Low Activity
morning,18.66,49.74,128.8697411459562,475.43386998398034,667.520750312654,589.0942571565436,2.0,9184,ventilation_only,very_bright,Low Activity
night,21.42,52.45,121.59662740652428,380.2145340643502,645.7755275834068,549.1464633754147,2.0,7395,cooling_active,moderate,Low Activity
evening,25.16,46.81,116.68716038954452,410.70060304795385,654.6908857752085,565.4756586756808,2.0,7395,ventilation_only,very_bright,Low Activity
night,20.78,55.78,109.25784263316396,430.1486694969639,666.7310998636941,594.0494431713115,3.0,7241,cooling_active,very_bright,Low Activity
night,20.63,56.16,111.23500661060476,438.4069775020862,675.0491239699533,598.5723772514955,3.0,7241,eco_mode,moderate,Low Activity
night,20.17,53.2,109.26286710230474,424.2662985273068,682.2572464924926,600.9832779881758,3.0,7241,ventilation_only,very_bright,Low Activity
night,20.52,56.48,108.74585098991128,433.3466777412276,662.142745080794,600.0201563409092,2.0,7241,off,bright,Low Activity
night,20.43,56.6,110.95409168917448,434.7444982665707,674.6774846996194,598.276301353335,3.0,7241,heating_active,moderate,Low Activity
night,20.39,56.53,105.61410295771202,423.526537549147,667.5421174929494,601.5548797174274,3.0,7241,eco_mode,very_dim,Low Activity
night,20.69,58.24,119.07063390477364,472.5023281967243,675.0253307391962,600.9687959661605,1.0,8936,off,bright,Low Activity
night,20.45,56.3,113.2936640464556,445.8077656440853,674.6749211834666,603.6044761450956,2.0,7241,off,very_bright,Low Activity
afternoon,20.72,50.69,105.90768030326568,458.678606747722,691.2656002320525,628.7272098857402,1.0,4507,heating_active,very_bright,Moderate Activity
night,18.44,49.68,113.9173553788458,491.9101727496431,709.3119108506535,653.5609752130324,1.0,1374,maintenance_mode,very_bright,Low Activity
evening,24.29,49.72,141.85536051092294,391.2976123717495,633.5879112286294,542.1502937847814,2.0,5172,heating_active,very_bright,Low Activity
morning,17.66,44.92,99.21808948735122,446.5204043593605,723.5773812885042,659.9627849542518,0.0,3418,heating_active,very_dim,Low Activity
afternoon,22.02,49.65,122.96533048580312,462.70360047990846,666.4330396680731,601.479193992916,2.0,9184,eco_mode,very_bright,Low Activity
night,20.24,53.2,104.71479153873618,449.5244264372402,680.8474567485879,596.9373887500649,3.0,7241,cooling_active,bright,Low Activity
evening,22.11,43.03,100.00910100516934,503.5036090384259,694.5051407466613,610.1861412542711,1.0,8052,cooling_active,very_bright,Moderate Activity
night,20.31,55.74,141.10259533181534,397.3090766248157,665.6395751197995,579.3634626188438,2.0,8649,cooling_active,bright,Low Activity
night,20.17,56.4,111.05329035666476,441.8957880901015,667.757336269178,600.4384120537301,3.0,7241,maintenance_mode,dim,Low Activity
night,20.22,56.7,112.6787190176048,444.9550504481161,674.9344094140641,596.5729662811863,3.0,7241,heating_active,very_dim,Low Activity
night,20.11,57.0,198.6235397619223,448.6454526157962,479.74801653802535,585.5228871584962,2.0,7241,heating_active,bright,Low Activity
night,20.21,56.79,115.05179403799887,449.0714874737957,673.5820620668848,597.1929377694348,3.0,7241,ventilation_only,very_bright,Low Activity
evening,22.56,44.84,128.4301050559735,484.0665286175148,673.5246815429769,603.1658971983188,2.0,2679,maintenance_mode,bright,Low Activity
night,19.42,48.75,116.64658469797334,457.5203570772721,695.0502802152948,636.8542503277864,1.0,6431,eco_mode,very_bright,High Activity
afternoon,23.64,46.53,88.7720054418626,420.42448855951113,687.0795702017673,626.3734526455783,1.0,1482,maintenance_mode,moderate,Low Activity
night,20.15,56.69,106.96921984208184,445.34124846667027,675.8429529664354,590.1468206771294,3.0,7241,eco_mode,dim,Low Activity
night,20.15,56.69,111.27984831669409,443.1801249749443,668.4150811673605,598.8540648601418,3.0,7241,off,very_bright,Moderate Activity
night,20.13,56.69,106.22992593005328,453.11394309495233,686.3813678421025,601.8317336788197,3.0,7241,maintenance_mode,very_bright,Low Activity
night,20.04,56.91,111.88735724826256,446.842291652324,675.2745392120419,585.444209284694,3.0,7241,heating_active,bright,Low Activity
night,20.08,56.72,109.87853585571258,440.854540695575,678.0250073274112,601.0361417516542,3.0,7241,heating_active,bright,High Activity
morning,19.0,57.3,139.3936437659225,410.3503850878057,681.1347379056915,597.3550837934921,1.0,8649,eco_mode,very_bright,High Activity
night,20.09,56.63,109.25784263316396,441.4309815630365,504.9596409473359,603.827273947043,3.0,7241,off,bright,Low Activity
night,20.03,56.82,115.09986851026156,449.8779917514305,679.4010936289457,605.1276613308348,3.0,7241,cooling_active,very_dim,High Activity
night,20.07,56.6,234.40651074524675,453.58819959596633,677.3546272781196,609.4618732581049,3.0,7241,maintenance_mode,very_bright,Low Activity
night,20.15,53.2,110.61216455892452,452.8076863278999,680.7172015563905,606.4856171842431,3.0,7241,eco_mode,very_bright,Low Activity
morning,15.24,42.91,71.0998696683535,568.2221673480357,752.2160794372423,703.1780523997129,1.0,8052,off,bright,Moderate Activity
night,19.84,56.94,116.32124273345296,427.4528354287625,674.7616018102075,595.0332300474482,3.0,7241,off,very_bright,High Activity
night,19.81,57.03,111.50224836955618,448.232956972002,679.4818516904728,623.786334841229,2.0,7241,eco_mode,very_bright,Low Activity
night,19.8,53.2,111.09148562836256,457.2635901223377,678.8669674916318,611.4131214707645,3.0,7241,ventilation_only,bright,High Activity
evening,23.11,51.82,128.27866967438348,415.04305289173806,517.0297489701758,532.3629619250055,2.0,3074,cooling_active,bright,High Activity
night,10.233207494497512,56.94,111.73366571096466,458.7090128615963,859.1251926009834,612.34540552872,3.0,7241,heating_active,very_bright,Low Activity
night,19.86,56.93,110.52276590221308,462.07398677542017,683.9101086564498,611.8461943058179,3.0,7241,off,moderate,Moderate Activity
morning,16.71,49.82,109.96495622689916,508.466306583684,704.7793553909125,648.1538289838803,2.0,8052,off,bright,Moderate Activity
morning,19.78,51.44,80.8594896395042,484.66801185339625,710.2961048023235,651.0898106525498,1.0,3856,ventilation_only,moderate,Low Activity
night,20.17,53.2,113.98311543544628,451.3559635804437,677.4014065380586,604.097093612269,2.0,7241,cooling_active,moderate,High Activity
night,19.79,57.06,111.74949505992195,469.5938294753623,678.9716798134527,611.8551021110791,2.0,7241,off,very_bright,High Activity
afternoon,19.61,46.88,84.64702455697639,443.01558625651296,675.179790228536,604.2804597749216,1.0,6431,ventilation_only,very_bright,Low Activity
night,19.81,57.07,108.49051148011868,454.34110343302575,676.4710093078218,607.7189498551772,2.0,7241,ventilation_only,bright,Moderate Activity
night,19.86,56.82,116.83504148039876,460.025335249469,680.7218463203283,613.2664215925449,2.0,7241,heating_active,bright,Low Activity
